jud,uat,ALTII_pct,CĂLIN GEORGESCU_pct,ELENA-VALERICA LASCONI_pct,GEORGE-NICOLAE SIMION_pct,HUNOR KELEMEN_pct,ION-MARCEL CIOLACU_pct,NICOLAE-IONEL CIUCĂ_pct,Prezenta,Castigator,Procent castigator,Lat,Long,Mediu
ALBA,ALBAC,7.58,28.15,8.81,17.5,0.49,23.99,13.46,52.6,CĂLIN GEORGESCU,28.15,46.46827,22.96154164,RURAL
ALBA,ALMAȘU MARE,7.72,20.34,10.55,20.15,1.51,15.07,24.67,54.46,NICOLAE-IONEL CIUCĂ,24.67,46.08212426,23.14512303,RURAL
ALBA,ARIEȘENI,5.92,11.04,7.19,11.56,0.31,15.42,48.54,76.52,NICOLAE-IONEL CIUCĂ,48.54,46.49683807,22.73972809,RURAL
ALBA,AVRAM IANCU,5.32,22.53,6.96,19.23,0,34.8,11.17,48.73,ION-MARCEL CIOLACU,34.8,46.37854481,22.77661577,RURAL
ALBA,BERGHIN,4.56,22.69,8.65,21.05,0.7,12.63,29.71,57.05,NICOLAE-IONEL CIUCĂ,29.71,46.07019956,23.7288281,RURAL
ALBA,BISTRA,5.84,26.38,7.11,24.79,0.41,17.69,17.8,46.59,CĂLIN GEORGESCU,26.38,46.43312576,23.13575911,RURAL
ALBA,BLANDIANA,11.41,20.67,9.74,13.78,0.71,11.4,32.3,56.97,NICOLAE-IONEL CIUCĂ,32.3,45.9941191,23.35917355,RURAL
ALBA,BUCERDEA GRÂNOASĂ,4.12,19.84,8.26,34.94,9.06,6.45,17.32,55.98,GEORGE-NICOLAE SIMION,34.94,46.2117024,23.85386611,RURAL
ALBA,BUCIUM,7.72,14.63,5.47,21.06,0.96,38.1,12.06,53.9,ION-MARCEL CIOLACU,38.1,46.255961,23.17073147,RURAL
ALBA,CENADE,6.99,22.94,4.99,11.72,0.25,5.74,47.38,51.54,NICOLAE-IONEL CIUCĂ,47.38,46.05520157,23.99816304,RURAL
ALBA,CERGĂU,6.92,23.98,11.85,13.54,0.56,10.72,32.44,58.99,NICOLAE-IONEL CIUCĂ,32.44,46.09008611,23.93990436,RURAL
ALBA,CERU-BĂCĂINȚI,4.47,10.83,6.37,7.01,0.64,29.94,40.76,80.1,NICOLAE-IONEL CIUCĂ,40.76,46.0066966,23.27546089,RURAL
